Title,Year,Number,Percent Uncredited,Percent Assistant,Percent Directing
Snow White,1937,0,0,0,0
Pinocchio,1940,1,100,100,0
Fantasia,1940,1,100,100,0
Dumbo,1941,1,100,0,0
Bambi,1942,2,100,0,0
Saludos Amigos,1942,0,0,0,0
The Three Caballeros,1945,0,0,0,0
Make Music Mine,1946,1,100,100,0
Fun and Fancy Free,1947,1,100,100,0
Melody Time,1948,2,100,100,0
The Adventures of Ichabod and Mr. Toad,1949,2,100,50,0
Cinderella,1950,1,100,100,0
Alice in Wonderland,1951,2,100,100,0
Peter Pan,1953,3,100,100,0
Lady and the Tramp,1955,4,100,100,0
Sleeping Beauty,1959,7,100,85.7,0
One Hundred and One Dalmations,1961,5,100,100,0
The Sword in the Stone,1963,7,100,100,0
The Jungle Book,1967,6,100,100,0
The Aristocats,1970,1,100,100,0
Robin Hood,1973,5,100,80,0
Winnie the Pooh,1977,2,100,100,0
The Rescuers,1977,3,100,33.33,0
The Fox and the Hound,1981,12,91.67,50,0
The Black Cauldron,1985,14,28.57,71.43,0
The Great Mouse Detective,1986,20,10,80,0
Oliver and Company,1988,24,4.17,75,0
The Little Mermaid,1989,26,0,53.85,0
The Rescuers Down Under,1990,28,14.29,39.29,21.43
Beauty and the Beast,1991,42,7.14,78.57,9.52
Aladdin,1992,39,7.69,66.67,17.95
The Lion King,1994,46,6.52,73.91,15.22
Pocahontas,1995,47,0,33,8
The Hunchback of Notre Dame,1996,25,0,36,16
Hercules,1997,68,5.88,85.29,2.94
Mulan,1998,23,17.39,13.04,0
Tarzan,1999,52,1.92,86.54,0
Fantasia 2000,2000,46,0,84.78,0
